                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                0.77736,                0.61627,                 1.0194,                0.82811,                  0.925,                0.92199,                0.72491,                0.79101,                0.63567,                 1.0865,              0.0014456,              0.0014456,              0.0014456
                     59,                0.79577,                0.62525,                 1.0349,                0.84705,                  0.925,                0.92294,                0.74259,                0.76077,                0.58142,                 1.0542,              0.0014357,              0.0014357,              0.0014357
                     60,                 0.7917,                0.63481,                 1.0427,                 0.8441,                 0.9475,                0.91774,                0.72525,                0.78547,                0.61888,                 1.0744,              0.0014258,              0.0014258,              0.0014258
                     61,                0.74708,                0.60108,                 1.0182,                0.84077,                   0.95,                0.91558,                0.73495,                0.77739,                0.59192,                 1.0672,              0.0014159,              0.0014159,              0.0014159
                     62,                 0.7842,                0.61569,                  1.027,                0.84189,                0.93183,                0.89833,                0.69991,                0.79966,                0.62694,                 1.0888,               0.001406,               0.001406,               0.001406
                     63,                0.77018,                0.61581,                  1.028,                0.83382,                0.91667,                0.87996,                 0.6942,                0.78092,                0.64408,                 1.0759,              0.0013961,              0.0013961,              0.0013961
                     64,                0.79378,                0.63186,                 1.0416,                0.80668,                 0.9041,                0.89271,                0.69775,                0.81839,                0.61922,                 1.1005,              0.0013862,              0.0013862,              0.0013862
                     65,                0.77003,                0.61402,                 1.0215,                0.82003,                0.93333,                0.92605,                0.74275,                0.79416,                0.58678,                 1.0781,              0.0013763,              0.0013763,              0.0013763
                     66,                0.78168,                  0.621,                 1.0116,                0.84816,                0.88442,                0.92153,                0.73516,                0.75195,                 0.6337,                 1.0562,              0.0013664,              0.0013664,              0.0013664
                     67,                0.76147,                0.61701,                 1.0343,                0.82177,                0.92214,                0.90921,                 0.7276,                0.75734,                0.58483,                  1.053,              0.0013565,              0.0013565,              0.0013565
                     68,                0.77452,                0.60047,                 1.0302,                0.81394,                0.94167,                0.92398,                0.74115,                0.77091,                0.60184,                 1.0723,              0.0013466,              0.0013466,              0.0013466
                     69,                0.73904,                0.60749,                0.99869,                0.83232,                0.90833,                0.91333,                0.72906,                0.76336,                0.61639,                 1.0841,              0.0013367,              0.0013367,              0.0013367
                     70,                0.75591,                0.60539,                 1.0151,                 0.8221,                  0.925,                 0.9063,                0.71531,                0.76536,                0.59065,                 1.0721,              0.0013268,              0.0013268,              0.0013268
                     71,                0.74656,                0.61692,                 1.0205,                 0.8071,                0.95833,                0.90231,                0.71639,                0.73843,                0.59917,                 1.0507,              0.0013169,              0.0013169,              0.0013169
                     72,                0.74491,                0.60522,                 1.0121,                0.83574,                0.93333,                0.88964,                 0.7028,                0.76909,                0.58101,                 1.0861,               0.001307,               0.001307,               0.001307
                     73,                0.76388,                0.59887,                 1.0273,                0.81432,                0.91369,                0.88868,                0.71211,                0.78029,                0.60923,                 1.0801,              0.0012971,              0.0012971,              0.0012971
                     74,                0.76986,                0.59705,                 1.0258,                0.81893,                0.90454,                0.91294,                 0.7339,                0.77948,                0.58338,                 1.0899,              0.0012872,              0.0012872,              0.0012872
                     75,                 0.7548,                0.60192,                 1.0193,                0.84067,                0.91667,                0.91092,                0.72373,                0.78272,                0.58871,                 1.0863,              0.0012773,              0.0012773,              0.0012773
                     76,                0.74047,                0.58359,                 1.0116,                 0.8277,                0.92076,                0.90941,                0.72021,                0.79556,                0.57986,                 1.0845,              0.0012674,              0.0012674,              0.0012674
                     77,                0.73958,                0.57311,                0.99496,                0.82639,                0.91667,                0.91659,                0.73576,                0.77221,                0.57808,                 1.0799,              0.0012575,              0.0012575,              0.0012575
                     78,                0.73677,                0.56646,                 1.0068,                0.83772,                0.90342,                0.91545,                0.73458,                0.77592,                0.61282,                 1.0773,              0.0012476,              0.0012476,              0.0012476
                     79,                0.74027,                0.57805,                 1.0062,                0.84139,                    0.9,                0.91852,                0.72787,                0.76531,                0.57206,                 1.0641,              0.0012377,              0.0012377,              0.0012377
                     80,                0.73848,                0.58941,                   1.01,                0.82427,                  0.925,                0.91477,                0.72896,                 0.7752,                0.63808,                 1.0666,              0.0012278,              0.0012278,              0.0012278
                     81,                0.73106,                0.58043,                 1.0071,                0.82058,                0.91474,                 0.9089,                0.71382,                 0.7914,                0.61476,                 1.0803,              0.0012179,              0.0012179,              0.0012179
                     82,                0.74227,                0.57174,                   1.02,                0.83341,                0.90833,                0.90781,                0.72567,                0.78732,                0.64517,                 1.0803,               0.001208,               0.001208,               0.001208
                     83,                0.75768,                0.56818,                 1.0058,                0.82585,                0.94845,                0.90991,                0.72022,                0.77876,                 0.5787,                   1.07,              0.0011981,              0.0011981,              0.0011981
                     84,                0.73513,                 0.5763,                 1.0032,                0.83843,                0.90833,                0.90519,                 0.7197,                0.78315,                0.57157,                 1.0782,              0.0011882,              0.0011882,              0.0011882
                     85,                0.75625,                0.57972,                 1.0021,                0.82584,                0.90833,                 0.9066,                0.72338,                0.77979,                0.65473,                 1.0594,              0.0011783,              0.0011783,              0.0011783
                     86,                0.75184,                0.57789,                 1.0283,                 0.8301,                0.93647,                0.89865,                0.70969,                 0.8057,                0.66477,                 1.0806,              0.0011684,              0.0011684,              0.0011684
                     87,                0.74626,                 0.5779,                 1.0102,                0.82593,                0.94898,                0.90141,                0.71637,                0.81714,                0.62027,                 1.1033,              0.0011585,              0.0011585,              0.0011585
                     88,                0.76105,                0.58658,                 1.0223,                0.82085,                0.93333,                0.90424,                0.72457,                 0.7841,                0.58891,                 1.0746,              0.0011486,              0.0011486,              0.0011486
                     89,                0.74281,                0.58873,                 1.0107,                 0.8487,                0.93494,                0.91444,                0.73335,                0.77525,                0.57001,                 1.0745,              0.0011387,              0.0011387,              0.0011387
                     90,                0.74359,                0.56553,                 1.0033,                0.84799,                0.92974,                0.91654,                0.72801,                  0.807,                 0.5465,                 1.0927,              0.0011288,              0.0011288,              0.0011288
                     91,                0.72155,                0.55273,                   1.02,                0.84854,                0.90833,                 0.9263,                0.73273,                0.78384,                0.55618,                 1.0841,              0.0011189,              0.0011189,              0.0011189
                     92,                0.72858,                0.56721,                 1.0005,                0.84547,                0.94167,                0.92447,                0.75629,                0.77506,                0.55389,                 1.0866,               0.001109,               0.001109,               0.001109
                     93,                 0.6773,                0.54791,                0.99583,                0.84295,                0.93932,                0.91612,                0.73051,                0.79028,                0.60024,                 1.0957,              0.0010991,              0.0010991,              0.0010991
                     94,                0.72744,                0.55283,                 0.9922,                0.84444,                0.91667,                 0.9155,                0.71777,                0.81951,                0.59248,                 1.1013,              0.0010892,              0.0010892,              0.0010892
                     95,                0.72975,                0.55449,                  1.001,                0.82797,                    0.9,                0.89267,                0.71361,                0.78787,                0.62339,                  1.084,              0.0010793,              0.0010793,              0.0010793
                     96,                0.71579,                0.56507,                 0.9939,                0.82741,                  0.875,                0.88249,                0.69061,                0.77278,                 0.6201,                 1.0816,              0.0010694,              0.0010694,              0.0010694
                     97,                0.73149,                0.55924,                  1.004,                0.81542,                0.92038,                0.89947,                0.71137,                0.78064,                0.58532,                 1.0845,              0.0010595,              0.0010595,              0.0010595
                     98,                0.70195,                0.54796,                 1.0028,                0.84063,                0.94167,                 0.9141,                0.72268,                0.79168,                0.57788,                 1.0957,              0.0010496,              0.0010496,              0.0010496
                     99,                0.70886,                0.53688,                 0.9961,                0.84572,                0.90833,                0.91311,                0.71819,                0.79132,                0.59388,                 1.0902,              0.0010397,              0.0010397,              0.0010397
                    100,                0.71949,                0.56434,                 1.0046,                0.83973,                0.96055,                0.88247,                0.69691,                0.77811,                0.55383,                 1.0837,              0.0010298,              0.0010298,              0.0010298
                    101,                0.68528,                0.53828,                0.99553,                0.84582,                0.91435,                0.88589,                0.69534,                0.78614,                0.54976,                 1.0875,              0.0010199,              0.0010199,              0.0010199
                    102,                0.71745,                0.56998,                 1.0076,                0.82793,                0.92221,                0.90379,                0.71645,                0.81056,                0.58354,                 1.0979,                0.00101,                0.00101,                0.00101
                    103,                0.69443,                 0.5325,                0.98698,                0.83026,                0.93755,                0.90283,                 0.7216,                0.78043,                0.59308,                 1.0843,              0.0010001,              0.0010001,              0.0010001
                    104,                0.68742,                0.51638,                0.98942,                0.84142,                0.94167,                0.90339,                0.72221,                0.77278,                0.61187,                 1.0829,              0.0009902,              0.0009902,              0.0009902
                    105,                0.71493,                0.52932,                 1.0012,                0.83788,                0.93333,                0.89156,                 0.7004,                0.77735,                0.57824,                 1.0858,              0.0009803,              0.0009803,              0.0009803
